标题,播放数,连接
『無前奏 | 女嗓』开口即跪 心醉神迷.,1266万,http://music.163.com/playlist?id=2089907261
林俊杰圣所世界巡回演唱会完整版歌单,12万,http://music.163.com/playlist?id=2145267670
胡歌 经典影视歌曲特辑,10万,http://music.163.com/playlist?id=2138154214
韩剧《经常请吃饭的漂亮姐姐》OST&BGM合辑,15万,http://music.163.com/playlist?id=2133440344
『开口脆』适合做铃声的欧美歌曲❤️,142万,http://music.163.com/playlist?id=2104156543
古风| 陌上繁花开，良人缓缓归,20万,http://music.163.com/playlist?id=2151625043
【电子】Drum and bass打游戏必备良曲,38万,http://music.163.com/playlist?id=2149335032
非主流青春里听过的歌,149万,http://music.163.com/playlist?id=2113359151
童年经典儿歌大全,12万,http://music.163.com/playlist?id=2109436111
『和式盯鞋』Shoegaze浪潮◎日系噪声美学,27万,http://music.163.com/playlist?id=2134169961
「男声控」沉醉于深情嗓音 迷失于动感旋律,67万,http://music.163.com/playlist?id=2121784814
『1980-至今』日本动画电影/剧场版大盘点,92万,http://music.163.com/playlist?id=2110565919
纯音乐｜钢琴与旧书页，会跳舞的黑白键,433万,http://music.163.com/playlist?id=2099302296
「 Him & I 」晚点遇见你，余生都是你,27万,http://music.163.com/playlist?id=2121164220
【日系燃曲】吾，即是为战斗而存在,38万,http://music.163.com/playlist?id=2137215049
古风 I 红烛多情化着泪 漫漫长夜摧伊人,221万,http://music.163.com/playlist?id=2100341581
暖春，寄一首阳光明媚的歌给你,579万,http://music.163.com/playlist?id=2114030515
【Just Chill】黄昏下的浪漫悦动,17万,http://music.163.com/playlist?id=2167222141
妈耶！韩国小哥哥唱日语歌也这么好听,19万,http://music.163.com/playlist?id=2159278825
头号玩家Ready Player One 电影OST 插曲,31万,http://music.163.com/playlist?id=2162894846
【起床闹铃必备】掀被而起，君临天下！,36万,http://music.163.com/playlist?id=2140904927
韩团R&B|风格各异的R&B，哪一首是你的Pick?,12万,http://music.163.com/playlist?id=2145241467
【China国风电音】之琵琶与古筝的荡气辉煌,29万,http://music.163.com/playlist?id=2112576346
角色背后的歌声 / 新老声优们的演绎,81万,http://music.163.com/playlist?id=2119594443
敲可爱的歌单（恋爱的感觉）,14万,http://music.163.com/playlist?id=2105070813
再听这些歌时你已热泪盈眶，你曾是少年,577万,http://music.163.com/playlist?id=2128858806
氛围音律｜飘渺乐境 梦幻泡影,15万,http://music.163.com/playlist?id=2154502404
开门呀 小可爱送温暖啦,55万,http://music.163.com/playlist?id=2151816466
日语精选：日本KTV中的高人气优质女声,39万,http://music.163.com/playlist?id=2150668313
不是所有人都在原地等你,20万,http://music.163.com/playlist?id=2153858258
少年不听李宗盛，听懂已是不惑年,216万,http://music.163.com/playlist?id=2129184583
异坤iSeeKun,10万,http://music.163.com/playlist?id=2121994892
【起床铃】我“恶毒”的室友系列,45万,http://music.163.com/playlist?id=2133663200
张国荣：只怪你过份美丽,143万,http://music.163.com/playlist?id=2129489084
「欧美电子」电子与人声的完美碰撞♚,122万,http://music.163.com/playlist?id=2135457343
[煦风曦日]摇曳在春光里的款款柔情,71万,http://music.163.com/playlist?id=2120073257
『欧美&节奏』开口即跪的清脆男嗓℡,15万,http://music.163.com/playlist?id=2113258500
轻柔英文歌 睡觉专用,24万,http://music.163.com/playlist?id=2125896151
「炸裂」你听过3D环绕音乐吗？特别酷！,66万,http://music.163.com/playlist?id=2120151283
GMM GRAMMY热门泰剧OST了解一下,24万,http://music.163.com/playlist?id=2139566312
「可爱」喜欢甜甜的歌也喜欢甜甜的你,10万,http://music.163.com/playlist?id=2137501153
【日系】温柔的声线治愈你的心灵,28万,http://music.163.com/playlist?id=2100979227
【治愈旋律】松谷云出 晴空雪暖,75万,http://music.163.com/playlist?id=2148719392
恋爱季，我安抚不住这颗躁动的心，请你收下,332万,http://music.163.com/playlist?id=2131237425
五月天 | 青春，有你无悔。,60万,http://music.163.com/playlist?id=2130746789
民谣里有哪些動聽的情话？,220万,http://music.163.com/playlist?id=2091758391
日系治愈男声，逐步陷入温柔的世界,92万,http://music.163.com/playlist?id=2095806875
你还不知道future bass么笨蛋？,19万,http://music.163.com/playlist?id=2169322307
◆想故作含蓄的跌入温暖怀抱◆,11万,http://music.163.com/playlist?id=2170815357
元气满满！无法抗拒の日系少女音,81万,http://music.163.com/playlist?id=2131714226
情书｜像喜欢星期五的下午那样喜欢你,504万,http://music.163.com/playlist?id=2133976544
『古风』随歌入画，皈依山水看浪花叠雪,150万,http://music.163.com/playlist?id=2102255856
声光美学 I 经典电影中的古典配乐集,141万,http://music.163.com/playlist?id=2107922801
深度睡眠 音符伴你入梦 愿你一夜好眠,173万,http://music.163.com/playlist?id=2086732756
『舌尖上的中国』最全BGM合集,18万,http://music.163.com/playlist?id=2115574775
主播猫腻游戏BGM,23万,http://music.163.com/playlist?id=2120178394
设计师想抖腿了听这单,94万,http://music.163.com/playlist?id=2108295731
李宗盛，每一首歌都深深击中内心！,31万,http://music.163.com/playlist?id=2129070723
这就是街舞经典背景音乐耳熟能详,59万,http://music.163.com/playlist?id=2137651853
日系治愈｜请问您今天要来点少女心吗？,158万,http://music.163.com/playlist?id=2092484970
［中文说唱］Underground永不为奴,112万,http://music.163.com/playlist?id=2119440255
『这！就是街舞』最全参赛BGM 有主题曲,48万,http://music.163.com/playlist?id=2115732453
『~米津玄师~』走进八爷的内心世界,19万,http://music.163.com/playlist?id=2087611743
日系温柔女声丨沐浴在歌声中的暖阳下,271万,http://music.163.com/playlist?id=2088799380
当你穿山越岭，我把我唱给你听,627万,http://music.163.com/playlist?id=2131695543
如果可以，我想和古人谈一场恋爱,214万,http://music.163.com/playlist?id=2091038787
「抒情摇滚」过去的时光与黯然的诗,422万,http://music.163.com/playlist?id=2092474396
镌刻在岁月中的摇滚传奇,31万,http://music.163.com/playlist?id=2151784031
韩‖惊艳嗓音，一秒陷入韩式魅力女声,21万,http://music.163.com/playlist?id=2152511326
你距离烟酒嗓，还差一万包万宝路,39万,http://music.163.com/playlist?id=2139298477
人声后摇 I 怎奈何琼夜一嗓伶俜,173万,http://music.163.com/playlist?id=2093273437
仙人抚我顶，结发受长生。,704万,http://music.163.com/playlist?id=2132009349
经常请吃饭的漂亮姐姐 OST& BGM,69万,http://music.163.com/playlist?id=2133763339
一听就上瘾的欧美流行歌曲，开口就沦陷！,126万,http://music.163.com/playlist?id=2116810839
致暗恋：陪伴是最怂的告白,608万,http://music.163.com/playlist?id=2127074784
这就是街舞BGM最新‖单曲循环炸曲‖精选,23万,http://music.163.com/playlist?id=2141720445
华研国际热门音乐精选50首,1038万,http://music.163.com/playlist?id=2120700410
那些曾经在Billboard上爆红的Hiphop—,15万,http://music.163.com/playlist?id=2122279649
hiphop&电音⚡️Rapper抖脚起来简直不要太爽,13万,http://music.163.com/playlist?id=2128709778
独处伴侣｜飘到地球尽头,28万,http://music.163.com/playlist?id=2141010431
『软音萌电』医疗兵就位，恶势力散退！,42万,http://music.163.com/playlist?id=2122586943
『音乐童话』精灵吟唱 | 如梦似幻,24万,http://music.163.com/playlist?id=2127435358
想与你°开启一场肆无忌惮的爱恋,153万,http://music.163.com/playlist?id=2131977732
梁静茹：爱她不是两三天,39万,http://music.163.com/playlist?id=2129431923
一禅小和尚背景音乐,85万,http://music.163.com/playlist?id=2116094255
Treasure Box | 欧美冷门良曲了解一下？,201万,http://music.163.com/playlist?id=2138096319
听说把糖放在枕头底下会做一个甜甜的梦,619万,http://music.163.com/playlist?id=2091484707
熱 評 已 註 銷.,34万,http://music.163.com/playlist?id=2110666644
韩式少女电子๑冒泡的甜橙味汽水,17万,http://music.163.com/playlist?id=2129246950
拔flow相助 | 围着火炉听嘻哈,93万,http://music.163.com/playlist?id=2134356986
GLR_G丽姐歌单,13万,http://music.163.com/playlist?id=2135347394
仙剑奇侠传一 仙剑奇侠传三 电视剧原声带,19万,http://music.163.com/playlist?id=2122703724
粤语钢琴||琴弥指尖 无词至情,14万,http://music.163.com/playlist?id=2141459648
黑胶酒馆|耳畔的浪漫眼中的你,101万,http://music.163.com/playlist?id=2125737991
百首日系思念 你的离别和一起描绘过的景色,18万,http://music.163.com/playlist?id=2098132127
慎点！每天叫醒全宿舍的洗脑神曲！,74万,http://music.163.com/playlist?id=2141379302
传统器乐赏：尺八的苍凉与恬静,31万,http://music.163.com/playlist?id=2137817994
俏皮口哨辑|充满阳光橙子汽水味的撩人纯音,12万,http://music.163.com/playlist?id=2136841673
年少不被层楼误，余生不羁尽自由。,167万,http://music.163.com/playlist?id=2127833943
撩人系｜一开口便能撩到你的女声~,173万,http://music.163.com/playlist?id=2102236918
“我想一个人静一静”,482万,http://music.163.com/playlist?id=2098557353
多热烈的白羊，热烈的抽象。,261万,http://music.163.com/playlist?id=2088358594
「日系抒情」|直抵你的内心,61万,http://music.163.com/playlist?id=2109852056
韩剧《LIVE》OST&BGM,19万,http://music.163.com/playlist?id=2137008091
林宥嘉翻唱精选 | 个人向,43万,http://music.163.com/playlist?id=2121778560
张国荣：媚态、悲剧与艺术,18万,http://music.163.com/playlist?id=2137350821
▫春日轻柔少女风 | 韩语响指系列▫,13万,http://music.163.com/playlist?id=2130880776
曾经我们不假思索，坠入爱河,11万,http://music.163.com/playlist?id=2152772614
塞北 ‖ 关于达坂城的记忆゛,11万,http://music.163.com/playlist?id=2153946539
“温柔点吧，这个世界已经够浮躁的了”,172万,http://music.163.com/playlist?id=2098892084
初春细语| 你和三月都是春天,26万,http://music.163.com/playlist?id=2136385470
清晨，愿与品茗粥尚温,21万,http://music.163.com/playlist?id=2138170829
如果思念有声音，该是我心跳的回响,304万,http://music.163.com/playlist?id=2098923749
初中必背古诗词，备战中考,25万,http://music.163.com/playlist?id=2112252573
小鬼-王琳凯//欲戴皇冠，必承其重,52万,http://music.163.com/playlist?id=2114596021
『遗憾』用林若宁的话怎么说？,21万,http://music.163.com/playlist?id=2127573198
适合开车时候听的欧美歌曲,82万,http://music.163.com/playlist?id=2101179574
秒变节奏控：Armada电音推荐,222万,http://music.163.com/playlist?id=2115269867
康纳麦格雷戈专属BGM,87万,http://music.163.com/playlist?id=2090838082
【宛转悠扬】琴声/节奏/电音Let's Go耳机,11万,http://music.163.com/playlist?id=2134172697
纯音｜灵魂中最深的孤独，是伴随着清醒而来,17万,http://music.163.com/playlist?id=2121679403
助眠丨夜灯缱绻 是渴睡者的眼,33万,http://music.163.com/playlist?id=2114296240
华语说唱里面的“励志”使命,59万,http://music.163.com/playlist?id=2110675477
土木三班陈同学（小懒猪陈）——合集,23万,http://music.163.com/playlist?id=2109630946
Break free ，Finally clean丨找回自己,181万,http://music.163.com/playlist?id=2109111010
奶油田电音盛宴,15万,http://music.163.com/playlist?id=2127409082
如初之光 | 与莫文蔚有关的日子,16万,http://music.163.com/playlist?id=2127884355
韩语|比任何人都要认真努力地生活啊,26万,http://music.163.com/playlist?id=2123117466
韩语☆春天来临，也许有个恋爱该谈一下,31万,http://music.163.com/playlist?id=2121300470
令人潸然泪下的纯音乐,46万,http://music.163.com/playlist?id=2105474477
开头就能当铃声,20万,http://music.163.com/playlist?id=2138611172
「治愈柔情」恍若隔世般的迷恋与遗忘,103万,http://music.163.com/playlist?id=2133838767
【R&B】慵懒的感觉非常舒服,35万,http://music.163.com/playlist?id=2094091970
【日系】毒系女声与轻快电音的完美结合,27万,http://music.163.com/playlist?id=2113963186
Zedd | Create Your Dream Set List,15万,http://music.163.com/playlist?id=2138874880
精选韩团の日单☆风在吹，你的泪，四季更替～,10万,http://music.163.com/playlist?id=2145184260
你是否对老街情有独钟 对故人仍然心动？,28万,http://music.163.com/playlist?id=2138963079
数学不好就听不懂，数学摇滚精选！,10万,http://music.163.com/playlist?id=2148597924
「我爱你」是需要鼓起勇气才说得出口啊,105万,http://music.163.com/playlist?id=2093908269
【蔡徐坤】偶像练习生♡星动亚洲,71万,http://music.163.com/playlist?id=2089973964
【古风】向江南折花 对春风红蜡,37万,http://music.163.com/playlist?id=2132288573
韩式少女电子✧柠檬的清凉酸爽感ˑ,24万,http://music.163.com/playlist?id=2129247799
ヤキモチ/起风了,33万,http://music.163.com/playlist?id=2133125759
“说真的 梦里在一起吧”,41万,http://music.163.com/playlist?id=2124685170
〖泰剧OST〗天生一对,11万,http://music.163.com/playlist?id=2128277687
DOTA2-AWOLNATION（雷神之管）音乐包-原曲,12万,http://music.163.com/playlist?id=2120258929
狂野飙车9:传奇 Asphalt 9 真·原声BGM,21万,http://music.163.com/playlist?id=2119810237
独立音乐和他的朋友可爱系插画封面,32万,http://music.163.com/playlist?id=2124287085
想和这些唱情歌的小哥哥谈场恋爱呀,156万,http://music.163.com/playlist?id=2109339318
静心纯音集♪孤独平静中孕育着坚强♫,41万,http://music.163.com/playlist?id=2108458442
Well，Spring is coming丨乱花渐欲迷人眼,193万,http://music.163.com/playlist?id=2099609886
法扎的完整观看顺序 （摇滚莫扎特）,10万,http://music.163.com/playlist?id=2090181257
"青春少女音l在最美的年纪,寻思最好的你",42万,http://music.163.com/playlist?id=2124579248
有些记忆就算忘不掉 也要假装记不起,194万,http://music.163.com/playlist?id=2127962775
治愈纯音丨魔法点亮眼底的点点星光,43万,http://music.163.com/playlist?id=2125848825
「日式森系」栀子花年少她,59万,http://music.163.com/playlist?id=2086961288
林俊杰圣所世界巡回演唱会歌单,25万,http://music.163.com/playlist?id=2099306377
「月樱低咏」折刀剑之舞 叹咏暗殇调,18万,http://music.163.com/playlist?id=2111160789
纯音丨世事漫随流水 算来一梦浮生,57万,http://music.163.com/playlist?id=2101116251
『韩语』独自一人抬头仰望蔚蓝的天空,14万,http://music.163.com/playlist?id=2136038187
温柔纯音系│幻想的彼岸 梦中深处的花海,21万,http://music.163.com/playlist?id=2107670128
古风觉晓 | 春色不过宛若江南,133万,http://music.163.com/playlist?id=2141352985
☁️仙气环绕的韩国空灵女声,15万,http://music.163.com/playlist?id=2140454162
“从来都是爱而不得的歌写得意味深长。”,161万,http://music.163.com/playlist?id=2096009367
古风良缘｜愿得一人心 白首不辞卿,147万,http://music.163.com/playlist?id=2086728689
「纯音·樱花祭」樱花绽放，飘散成曲。,23万,http://music.163.com/playlist?id=2124818497
「纯音」 迷茫是流浪者无言的伤。,23万,http://music.163.com/playlist?id=2121333613
古风女声| 吟一曲万水千山，醉叹锦绣年华,33万,http://music.163.com/playlist?id=2090147245
“呆妹儿小霸王”吃鸡搞笑BGM,15万,http://music.163.com/playlist?id=2102298273
哔哩哔哩|曾经血洗B站的神曲集锦√,19万,http://music.163.com/playlist?id=2089001450
温暖与悠然 | 当吉他邂逅男声,62万,http://music.163.com/playlist?id=2111924609
不只和煦的风 还有温柔的你,140万,http://music.163.com/playlist?id=2117069049
彩虹六号防守干员手机铃声,22万,http://music.163.com/playlist?id=2107645413
泫雅：性感霸气的百变女王,52万,http://music.163.com/playlist?id=2092033430
一秒就会中毒的韩语歌单~,10万,http://music.163.com/playlist?id=2109726190
踏着清风走向云端【Kobalt精编】,25万,http://music.163.com/playlist?id=2132570994
日系｜把星星藏进口袋 再加一些糖,24万,http://music.163.com/playlist?id=2115599010
华语歌里的宇宙丨我们飞向太空,198万,http://music.163.com/playlist?id=2092321859
抒情/治愈：请带上微笑一路前行,27万,http://music.163.com/playlist?id=2140489265
快起来！床塌了！,31万,http://music.163.com/playlist?id=2138996339
央视《经典咏流传》歌曲|持续更新～,16万,http://music.163.com/playlist?id=2108689809
「元夕」萌妹纸当然是元宵节标配,21万,http://music.163.com/playlist?id=2122066407
彼得兔 比得兔 电影原声,11万,http://music.163.com/playlist?id=2124722806
赶走阴霾 来一首欢快的欧美小调,805万,http://music.163.com/playlist?id=2084738832
听什么歌都像在唱自己,112万,http://music.163.com/playlist?id=2082564528
古风词作‖他们只是喜欢用歌的方式来讲故事,169万,http://music.163.com/playlist?id=2081133164
想要办一场古风婚礼，许一世天地作嫁,451万,http://music.163.com/playlist?id=2074273616
爱笑的摩羯座应该都很孤独吧。,53万,http://music.163.com/playlist?id=2074291456
助眠集 | 自然音，伴灵动乐符萦绕耳畔,215万,http://music.163.com/playlist?id=2075587022
古风精选 你眼中是江湖 我眼中是你,593万,http://music.163.com/playlist?id=2074681032
『这！就是街舞』最全BGM合集持更,182万,http://music.163.com/playlist?id=2078747658
恋爱系Melody，不知觉已陷入暗恋之心,366万,http://music.163.com/playlist?id=2069140707
【妖说】沧海桑田 只待君归,156万,http://music.163.com/playlist?id=2081400147
古典清香 I 我的茶馆里住着巴赫与肖邦,235万,http://music.163.com/playlist?id=2065854146
2017至2018最火的歌,1077万,http://music.163.com/playlist?id=2055854229
「偶像练习生」参赛曲目(Nine Percent),434万,http://music.163.com/playlist?id=2070073302
国人的纯音已经到了什么地步,54万,http://music.163.com/playlist?id=2070331664
90后回忆杀-学生时代听过的那些歌,25万,http://music.163.com/playlist?id=2080319176
痛彻心扉地哭，然后刻骨铭心地记住,920万,http://music.163.com/playlist?id=2059430694
开车必备中文歌（持续更新）,71万,http://music.163.com/playlist?id=2057638739
▶ 2018年欧美流行新歌速递,157万,http://music.163.com/playlist?id=2076170419
只是想安静的 享受那份呼吸的感觉。o・°。,638万,http://music.163.com/playlist?id=2058497430
综艺《偶像练习生》BGM合辑,318万,http://music.163.com/playlist?id=2065515420
日系摇滚『东京日和° 一番街的清冽少年』,180万,http://music.163.com/playlist?id=2062601053
『Trap』低频轰炸机 令人上瘾的黑暗氛围,207万,http://music.163.com/playlist?id=2069189356
Moombahton：异域风情的Drop最强音,395万,http://music.163.com/playlist?id=2069998416
华语 | 80/90都听过的经典老歌【怀旧篇】,273万,http://music.163.com/playlist?id=2059412026
综艺《这！就是街舞》BGM合辑,59万,http://music.163.com/playlist?id=2061447491
『曲作精选』细数古风圈原创作曲人❶,661万,http://music.163.com/playlist?id=2041615881
百首日系抒情，总有一首触动你的心,535万,http://music.163.com/playlist?id=2048970456
陈奕迅正曲全收录,19万,http://music.163.com/playlist?id=2068331353
【节奏控】好听又带感的英文歌(2017总结篇),2399万,http://music.163.com/playlist?id=2036883936
小姐姐搭档电子乐，声控党新潮的标配~,83万,http://music.163.com/playlist?id=2055571883
BBC新闻＋TED演讲,11万,http://music.163.com/playlist?id=2047661253
华语 | 听歌最怕应景，触景最怕生情,1457万,http://music.163.com/playlist?id=2042006896
2018全年抖腿指南，老铁你怕了吗？,1082万,http://music.163.com/playlist?id=2050704516
粤语女声 I 故事太多 没人会听你诉说,654万,http://music.163.com/playlist?id=2047424322
「女声控」音色沁人心 旋律美如画,467万,http://music.163.com/playlist?id=2040074016
那些为电音画龙点睛的惊艳女Vocals,148万,http://music.163.com/playlist?id=2081768956
随想纯音 · 仰望星辰的循环往复,417万,http://music.163.com/playlist?id=2033343411
【欧美励志歌单】打起精神，坚持下去,120万,http://music.163.com/playlist?id=2045318432
日系对唱丨聆听他们绽放在青春的美好,200万,http://music.163.com/playlist?id=2049903536
神级燃曲 · 百首顶级日漫激昂配乐,123万,http://music.163.com/playlist?id=2032514030
再深的感情也抵挡不住缘分的交错,687万,http://music.163.com/playlist?id=2036154174
钢琴前奏 • 清新静谧的舒适体验,391万,http://music.163.com/playlist?id=2031723550
偶像练习生_歌单合辑pick pick pick,473万,http://music.163.com/playlist?id=2070299050
Healing Time·一首歌描绘了一场梦,108万,http://music.163.com/playlist?id=2075642590
一个比较走心的民谣歌单,99万,http://music.163.com/playlist?id=2067079376
2017下半年百首热门EDM精选,421万,http://music.163.com/playlist?id=2035928784
【女声控】美到窒息，化与灵魂共鸣的音符♪,32万,http://music.163.com/playlist?id=2075331099
一个双鱼座的听歌列表,59万,http://music.163.com/playlist?id=2037756698
这个歌单就是你的补番表,24万,http://music.163.com/playlist?id=2037209821
网络流行歌曲20*£～2018,202万,http://music.163.com/playlist?id=2037526684
华语百首 | 歌词里那些欲言又止的少女心事,1216万,http://music.163.com/playlist?id=2029428985
粤语男声 I 我已见过银河 但我只爱一颗星,566万,http://music.163.com/playlist?id=2023551932
雨 声（amsr睡眠用）,31万,http://music.163.com/playlist?id=2074003626
你所耳熟能详的搞事情歌单【魔性循环】,208万,http://music.163.com/playlist?id=2020493495
沈以诚，焦迈奇，徐秉龙，刘莱斯，余佳运.,302万,http://music.163.com/playlist?id=2011848894
收集两年的健身运动歌单,40万,http://music.163.com/playlist?id=2059952971
說 出 來 的 情 話（持续更新）,259万,http://music.163.com/playlist?id=2015830102
女生KTV必点歌曲,80万,http://music.163.com/playlist?id=2023025745
『古风戏腔』名花不解语 无情也动人,99万,http://music.163.com/playlist?id=2022186054
爱情不卑微不施舍，别以为你是谁,472万,http://music.163.com/playlist?id=2015408138
你说你很累，可谁又活得顺风顺水,771万,http://music.163.com/playlist?id=2055724092
2017年billboard公告牌电子舞曲年榜,815万,http://music.163.com/playlist?id=2012592880
写作业累了，要不来一段Freestyle ？,383万,http://music.163.com/playlist?id=2069749302
2017年度最受欢迎个性推荐歌曲,4644万,http://music.163.com/playlist?id=2039098272
For you 」,35万,http://music.163.com/playlist?id=2018083531
『致前任』我曾经很喜欢你 但也只能到这里,878万,http://music.163.com/playlist?id=2049424729
妈妈，他的糖里有毒,1149万,http://music.163.com/playlist?id=2052760419
2017年度最热新歌TOP100,4704万,http://music.163.com/playlist?id=2039073542
在清晨午后，适合读书背景音乐|great.,16万,http://music.163.com/playlist?id=2081532000
『催眠神曲』亲试有效听片刻即困。,102万,http://music.163.com/playlist?id=2049139112
Beautiful Now【音乐的力量·电音】,25万,http://music.163.com/playlist?id=2050976156
【Pr】自认为很好的剪辑时的音乐/音效,21万,http://music.163.com/playlist?id=2055435222
lo-fi hiphop｜繁华都市与孤独旅人,41万,http://music.163.com/playlist?id=2073101707
分手后再次与前任相见你会怎么办？,1446万,http://music.163.com/playlist?id=2045750454
电影中的提琴曲｜故事最长情,39万,http://music.163.com/playlist?id=2085138831
哼一曲歌谣，送别年少的你,205万,http://music.163.com/playlist?id=2066593601
别丧了，送你一首快乐的小甜歌^O^,41万,http://music.163.com/playlist?id=2071369403
【 2017 YouTube收听量最高的欧美歌曲 】,1627万,http://music.163.com/playlist?id=1991596470
愿还会有人，做个傻子陪你浪费一生,536万,http://music.163.com/playlist?id=2042205655
自然音 | 雨、海、江河，静谧水之旅,10万,http://music.163.com/playlist?id=2075550612
「日系/燃向丧」我无法理解的世界,131万,http://music.163.com/playlist?id=2042383725
骚气萨克斯，尽量别扭！,41万,http://music.163.com/playlist?id=2061171995
说 唱 中 的 江 湖 侠 客,42万,http://music.163.com/playlist?id=2074124472
【超燃】游戏必备BGM,32万,http://music.163.com/playlist?id=2071118614
玩人类一败涂地BGM,22万,http://music.163.com/playlist?id=2043525032
2017年日本iTunes热门动画歌曲TOP100,15万,http://music.163.com/playlist?id=2059352211
华语||我不怕等待，我怕你不来,510万,http://music.163.com/playlist?id=2031595851
吃鸡必备BGM 主播专用,152万,http://music.163.com/playlist?id=2031769374
确认过眼神，余生都是你,746万,http://music.163.com/playlist?id=2050135367
【节奏控】一听就上瘾的惊艳女声③,189万,http://music.163.com/playlist?id=2049460383
【天天吃鸡】百万后期BGM,20万,http://music.163.com/playlist?id=2074210594
朱正廷 偶像练习生,25万,http://music.163.com/playlist?id=2075426362
聚印象绝地求生超神篇歌单,26万,http://music.163.com/playlist?id=2022466257
特色女嗓 · 爆破型鬼才声线集,270万,http://music.163.com/playlist?id=2029494007
适合努力学习英语时听的歌曲,1091万,http://music.163.com/playlist?id=2015397679
人这一辈子，最怕突然听懂了一首歌。,1194万,http://music.163.com/playlist?id=2020864493
♥ 带 点 甜 味 的 韩 国 电 子 乐 ♥,14万,http://music.163.com/playlist?id=2057419956
2017年Billboard榜前五十最佳说唱歌曲,118万,http://music.163.com/playlist?id=2056197287
百年孤独丨每个人都是一颗孤星,45万,http://music.163.com/playlist?id=2061103315
朱伟的恋练有词歌单2019,29万,http://music.163.com/playlist?id=2032917187
魔性BGM 我亲手毁了我的日推系列,41万,http://music.163.com/playlist?id=2046480726
无前奏丨女声丨欧美丨三秒爱上,659万,http://music.163.com/playlist?id=2008935342
全球最年轻的DJ丨青春是永不停息的电流,183万,http://music.163.com/playlist?id=2036127284
New Beat Awards 2017年98首热歌倒数！,328万,http://music.163.com/playlist?id=2024618853
情 绪 绝 缘 体 ≈ 0% Emotions,217万,http://music.163.com/playlist?id=2018078090
理想男友音，声控福利~（不定期更新）,47万,http://music.163.com/playlist?id=2017931496
找不到的爱情别找了，该来的总会来的,450万,http://music.163.com/playlist?id=2006137660
脸红的思春期专场｜初恋热恋,29万,http://music.163.com/playlist?id=2027230022
是时候吸一口丧丧的仙气了,166万,http://music.163.com/playlist?id=2002199718
『148面的华晨宇，总有一面适合你』,237万,http://music.163.com/playlist?id=2008272804
[伤感纯音乐]没名字的歌单，没有你的我,34万,http://music.163.com/playlist?id=2002685332
『耽美古风』天官赐福＇为你，所向披靡！,32万,http://music.163.com/playlist?id=2014038407
原来所谓的巧合，是穿越千里的故意,16万,http://music.163.com/playlist?id=2184816168
头号玩家原声集Ready Player One,20万,http://music.163.com/playlist?id=2164994422
恋空丨遥不可及的念想 魂牵梦萦的天空,12万,http://music.163.com/playlist?id=2148142718
晚安日语：希望每天醒来都能看见你,26万,http://music.163.com/playlist?id=2217297057
网易云纯音乐榜（2018.5月第三周）,22万,http://music.163.com/playlist?id=2172458253
2018年四月最热新歌TOP50,658万,http://music.163.com/playlist?id=2208764332
『欧美&翻唱』耳朵怀孕♡逼死原唱系列,10万,http://music.163.com/playlist?id=2120336656
请将我从这场支离破碎的梦中唤醒...,29万,http://music.163.com/playlist?id=2106026157
请问您今天要来点狗粮吗？丨虐狗动画小盘点,48万,http://music.163.com/playlist?id=2140895458
来听听这些青春可爱的少女心事,160万,http://music.163.com/playlist?id=2128934505
『韩语』春天适合樱花，阳光，与最爱的你,10万,http://music.163.com/playlist?id=2116614897
2017 Best Music丨最难忘的欧美旋律,276万,http://music.163.com/playlist?id=2044070603
死 的 時 候 要 埋 在 一 起.,29万,http://music.163.com/playlist?id=2060642136
一个等待五月天版权的歌单,37万,http://music.163.com/playlist?id=2076007963
2018年二月最热新歌TOP50,445万,http://music.163.com/playlist?id=2121823915
晚世界的晚，安有你的安,16万,http://music.163.com/playlist?id=2114631405
『日系催眠轻声向』世界晚安。,12万,http://music.163.com/playlist?id=2050898967
“数了999只的羊却输在了一次的想你”,65万,http://music.163.com/playlist?id=2195416934
新国摇X少年心气|ROCK&LOVE&PEACE,33万,http://music.163.com/playlist?id=2194339362
云音乐五周年 | 感谢你的一路相伴,210万,http://music.163.com/playlist?id=2192790772
台湾流行音乐简史六·跨世纪「2000—2004」,88万,http://music.163.com/playlist?id=2117230470
